instance_index,explanation,explanation_map
0,"[('dem > 0.41', -0.1054705986186412), ('tri > 0.90', 0.08929609291388257), ('slope > -0.28', -0.05366123096835499), ('0.08 < nwdi <= 0.72', 0.03746973842593541), ('soils > 1.32', 0.022462950337805994)]","{1: [(8, -0.1054705986186412), (6, 0.08929609291388257), (4, -0.05366123096835499), (1, 0.03746973842593541), (5, 0.022462950337805994)]}"
1,"[('dem > 0.41', -0.09791606532994744), ('nwdi <= -0.77', -0.06652394745136664), ('slope <= -0.28', 0.054078818047399606), ('aspect <= -0.70', -0.030299240181940898), ('ndvi > 0.69', -0.02819348115274283)]","{1: [(8, -0.09791606532994744), (1, -0.06652394745136664), (4, 0.054078818047399606), (7, -0.030299240181940898), (0, -0.02819348115274283)]}"
2,"[('aspect > 0.94', 0.10567988902854529), ('dem > 0.41', -0.10070942244941362), ('slope > -0.28', -0.054468249263569454), ('nwdi > 0.72', 0.05258929334810173), ('tri <= -0.68', -0.04027687567750357)]","{1: [(7, 0.10567988902854529), (8, -0.10070942244941362), (4, -0.054468249263569454), (1, 0.05258929334810173), (6, -0.04027687567750357)]}"
3,"[('dem > 0.41', -0.10153009323740168), ('nwdi <= -0.77', -0.0629183988742278), ('-0.82 < distancefromriver <= -0.43', 0.05741967245739042), ('slope > -0.28', -0.0567756653974919), ('ndvi > 0.69', -0.023817057405022664)]","{1: [(8, -0.10153009323740168), (1, -0.0629183988742278), (2, 0.05741967245739042), (4, -0.0567756653974919), (0, -0.023817057405022664)]}"
4,"[('aspect > 0.94', 0.1117305006476928), ('dem > 0.41', -0.10087973153290129), ('nwdi <= -0.77', -0.06695055886965759), ('slope > -0.28', -0.05193014714639702), ('tri <= -0.68', -0.04253273109552501)]","{1: [(7, 0.1117305006476928), (8, -0.10087973153290129), (1, -0.06695055886965759), (4, -0.05193014714639702), (6, -0.04253273109552501)]}"
5,"[('dem > 0.41', -0.1081200160216081), ('slope <= -0.28', 0.06076776956775475), ('0.08 < nwdi <= 0.72', 0.03578768638944146), ('aspect <= -0.70', -0.03556180611094426), ('ndvi <= -0.72', -0.02068637203678804)]","{1: [(8, -0.1081200160216081), (4, 0.06076776956775475), (1, 0.03578768638944146), (7, -0.03556180611094426), (0, -0.02068637203678804)]}"
6,"[('aspect > 0.94', 0.1033151032151864), ('dem > 0.41', -0.09480161121406636), ('nwdi <= -0.77', -0.05997104259235841), ('slope > -0.28', -0.057688824420352426), ('tri <= -0.68', -0.03740929684660428)]","{1: [(7, 0.1033151032151864), (8, -0.09480161121406636), (1, -0.05997104259235841), (4, -0.057688824420352426), (6, -0.03740929684660428)]}"
7,"[('dem > 0.41', -0.10532607024085974), ('nwdi <= -0.77', -0.06984852870177286), ('-0.70 < aspect <= -0.16', -0.06237106610958376), ('slope <= -0.28', 0.0620381854043424), ('-0.75 < soils <= 1.32', 0.032034180001072624)]","{1: [(8, -0.10532607024085974), (1, -0.06984852870177286), (7, -0.06237106610958376), (4, 0.0620381854043424), (5, 0.032034180001072624)]}"
8,"[('dem > 0.41', -0.10080280127991098), ('nwdi <= -0.77', -0.059267315336168594), ('slope <= -0.28', 0.05451430444603629), ('aspect <= -0.70', -0.038261188441344025), ('ndvi > 0.69', -0.026135775450681034)]","{1: [(8, -0.10080280127991098), (1, -0.059267315336168594), (4, 0.05451430444603629), (7, -0.038261188441344025), (0, -0.026135775450681034)]}"
9,"[('dem > 0.41', -0.1019610484984747), ('nwdi <= -0.77', -0.05880302368049468), ('slope > -0.28', -0.05775298601925325), ('tri <= -0.68', -0.041359763950497404), ('ndvi > 0.69', -0.02980717983487487)]","{1: [(8, -0.1019610484984747), (1, -0.05880302368049468), (4, -0.05775298601925325), (6, -0.041359763950497404), (0, -0.02980717983487487)]}"
