flood,ndvi,nwdi,distancefromriver,geology,slope,soils,tri,aspect,dem
0,0.119488,-0.1071,5,6,1,2,,1,4
0,0.085741,-0.07782,9,6,2,2,10,1,5
0,0.098375,-0.1033,7,6,4,2,18,21,4
0,0.142542,-0.15295,14,6,1,2,,1,4
0,0.167324,-0.15277,7,6,1,2,,1,3
0,0.014558,-0.01202,3,6,3,2,7,12,11
0,0.312604,-0.26882,4,2,5,2,21,3,8
0,0.075222,-0.0661,3,2,2,2,5,26,7
0,0.171301,-0.14353,4,6,1,2,,1,5
0,0.392448,-0.3423,3,6,2,6,23,25,4
0,0.057862,-0.04997,5,1,1,2,,1,3
0,0.077523,-0.07237,4,1,1,2,,1,3
0,0.043069,-0.0308,5,1,1,2,32,13,4
0,0.089575,-0.07823,4,1,1,1,,1,8
0,0.009291,-0.01836,7,2,4,2,12,22,8
0,0.129078,-0.11425,3,2,3,2,12,30,6
0,0.221634,-0.21961,3,3,2,7,19,3,5
0,0.250748,-0.24308,2,3,1,6,1,21,6
0,0.131139,-0.122,3,3,1,6,,1,6
0,0.157656,-0.13851,4,3,2,6,14,14,6
0,0.307544,-0.29424,2,3,1,2,,1,9
0,0.020846,-0.00983,4,3,1,3,32,5,8
0,0.198269,-0.20479,3,3,2,2,5,26,10
0,0.151399,-0.16688,3,3,2,2,14,14,6
0,0.194181,-0.19208,3,3,3,3,17,17,7
0,0.209002,-0.20946,3,3,3,7,19,12,4
0,0.294832,-0.24988,4,3,3,2,14,10,12
0,0.290488,-0.28277,2,3,3,2,14,17,15
0,0.253205,-0.20886,3,3,3,2,21,18,11
0,0.180609,-0.18056,2,3,2,3,5,23,4
0,0.26166,-0.23562,2,3,2,7,19,11,5
0,0.135975,-0.13928,2,3,1,6,,1,7
0,0.243428,-0.22485,2,3,2,7,5,10,2
0,0.288111,-0.25101,2,3,2,7,19,14,9
0,0.002952,0.000707,2,7,2,3,5,31,4
0,0.082701,-0.10612,3,4,5,2,19,25,7
0,0.097655,-0.09526,5,6,2,2,19,14,5
0,0.192919,-0.17562,6,6,2,2,14,26,5
0,0.158064,-0.15756,6,6,1,2,,1,4
0,0.080081,-0.06643,10,6,2,2,28,15,3
0,0.135979,-0.13179,8,6,1,2,,1,2
0,0.069205,-0.06112,13,6,1,2,,1,3
0,0.005961,-0.00268,10,6,1,2,,1,7
0,0.128669,-0.12617,11,6,1,2,,1,5
0,0.122229,-0.16251,7,6,1,2,,1,5
0,0.071511,-0.0586,4,6,1,2,1,13,5
0,0.095787,-0.07799,13,6,1,2,,1,3
0,0.14726,-0.11687,6,6,1,2,,1,2
